,photo_id,tag,title,image_url
96,49686503183,"['resurrection', 'christ', 'jesus', 'right', 'foot', 'nail', 'nailed', 'stigmata', 'holy', 'wound', 'drawing', 'cartoon', 'school', 'raphael', 'workshop', 'pieter', 'van', 'aelst', 'tapestry', 'gallery', 'galleria', 'degli', 'arazzi', 'tapestries', 'scuola', 'nuova', 'new', 'scenes', 'life', 'resurrected', 'textile', 'travel', 'tourist', 'people', 'museum', 'musei', 'vaticani', '松果喷泉', 'vaticano', 'vatican', '梵蒂冈', '博物馆', 'urban', 'rome', '羅馬', '罗马', 'roma', 'italia', '意大利', 'italy', 'sony', 'rx100', 'rx100va', 'rx100m5', 'rx100m5a']",Christ's Right Foot,https://www.flickr.com/photos/justaslice/49686503183/
97,49679713888,"['mare', 'sea', 'ocean', 'blue', 'azzurro', 'azul', 'azure', 'turquoise', 'minimal', 'horizon', 'orizzonte', 'horizonte', 'infinite', 'solidude', 'soledad', 'solitudne', 'persona', 'polignano', 'puglia', 'mediterraneo', 'adriatico', 'apulia', 'italy', 'italia', 'cielo', 'sky']",Bounded by a propitious sky,https://www.flickr.com/photos/14950906@N07/49679713888/
98,49687363486,"['gorzente', 'alessandria', 'bosio', 'capannemarcarolo', 'nuvole', 'nebbia', 'parconaturaleregionalecapannemarcarolo', 'valgorzente', 'inverno', 'pini', 'alberi', 'piemonte', 'parco', 'naturale', 'regionale', 'zigzag', 'bn', 'bianconero']",Capanne di Marcarolo_026_Colla Montemoro_Nebbia_01-19,https://www.flickr.com/photos/79892371@N08/49687363486/
99,49687346916,"['piombino', 'street']",DISCOUNTS,https://www.flickr.com/photos/fadelzo/49687346916/
100,49686810648,"['piombino', 'street']",CROSS SELLING,https://www.flickr.com/photos/fadelzo/49686810648/
101,49687327331,[],Duomo Metro,https://www.flickr.com/photos/acritely/49687327331/
102,49687602412,"['sz', 'slovenske', 'železnice', 'ormož', 'drau', 'drava', 'moped', '342', '342010', 'mv', '247', 'citadella']",SZ 342 010 Ormož,https://www.flickr.com/photos/150392294@N06/49687602412/
103,49687611022,[],Galleria Vittorio Emanuele Pano - 2020 remake,https://www.flickr.com/photos/acritely/49687611022/
104,49686755958,[],TENTAZIONI ALLE SPALLE,https://www.flickr.com/photos/fadelzo/49686755958/
105,49686749683,"['iphone', 'italia', 'sicilia', 'sicily', 'noto', 'provinciadisiracusa', 'donne', 'women', 'back', 'sea', 'beach', 'spiaggia', 'mare', 'italy']",©enzomarcantonio-13,https://www.flickr.com/photos/enzomarcantonio/49686749683/
106,49686743363,"['flowers', 'spring', 'yellow', 'closeup']",Dream in Yellow 2,https://www.flickr.com/photos/105315767@N06/49686743363/
107,49687556042,"['blanc', 'bougeoir', 'bougie', 'brun', 'ceramique', 'geko', 'grenouille', 'objets', 'packshot', 'studio', 'vert', 'zen']",Restons zen,https://www.flickr.com/photos/philippe_belaz/49687556042/
108,49687546107,"['stephenmakin', 'march', 'nikond3300', '2020', 'italy', 'lazio', 'rome', 'roma', 'italia', 'travel', 'tree', 'storm', 'pine']",Distant storm,https://www.flickr.com/photos/steveinleightonsphotos/49687546107/
109,49687545927,[],Vatican,https://www.flickr.com/photos/149934425@N05/49687545927/
110,49686707548,[],Viola del pensiero.,https://www.flickr.com/photos/163177199@N03/49686707548/
111,49687543287,"['stephenmakin', 'march', 'nikond3300', '2020', 'italy', 'lazio', 'rome', 'roma', 'italia', 'travel', 'statue', 'sculpture', 'tourist', 'mausoleum', 'castle', 'roman']",Michael the Archangel,https://www.flickr.com/photos/steveinleightonsphotos/49687543287/
112,49687195386,"['e193', 'vectron', 'treviso', 'compagnia', 'ferroviaria', 'italiana', 'piadena']",E193.654 CFI,https://www.flickr.com/photos/128245547@N08/49687195386/
113,49686662113,"['stephenmakin', 'march', 'nikond3300', '2020', 'italy', 'lazio', 'rome', 'roma', 'italia', 'travel', 'statue', 'sculpture', 'window', 'mausoleum', 'castle']",Inside the Castel Sant'Angelo,https://www.flickr.com/photos/steveinleightonsphotos/49686662113/
114,49687477957,"['cogne', 'valledaosta', 'montagna', 'notturno']",Tipica abitazione montana.Cogne Valle d'Aosta.,https://www.flickr.com/photos/57768837@N04/49687477957/
115,49686642253,"['stephenmakin', 'march', 'nikond3300', '2020', 'italy', 'lazio', 'rome', 'roma', 'italia', 'travel', 'statue', 'sculpture', 'angel', 'castle']",Angel by Raffaello da Montelupo,https://www.flickr.com/photos/steveinleightonsphotos/49686642253/
116,49686627123,[],Cavalletta.,https://www.flickr.com/photos/163177199@N03/49686627123/
117,49686614593,"['cenefa', 'sombra', 'shadow', 'bergamo', 'italia', 'italy', 'guillermorelaño', 'sony', 'a7', 'a7m3', 'a7iii', 'alpha', 'ilce', 'alfa']",Cenefa,https://www.flickr.com/photos/viyelmo/49686614593/
118,49687139956,"['stephenmakin', 'march', 'nikond3300', '2020', 'italy', 'lazio', 'rome', 'roma', 'travel', 'italia', 'palace']",The Palazzo Senatorio (Senatorial Palace),https://www.flickr.com/photos/steveinleightonsphotos/49687139956/
